e,eLabel,time,prec,kindLabel,sitelinks,whereLabel
http://www.wikidata.org/entity/Q826781,Polynesian navigation,-2999-01-01T00:00:00Z,9,method,15,
http://www.wikidata.org/entity/Q1404282,Kondoa Rock Art Sites,-2999-01-01T00:00:00Z,9,cave,34,Tanzania
http://www.wikidata.org/entity/Q1404282,Kondoa Rock Art Sites,-2999-01-01T00:00:00Z,9,archaeological site,34,Tanzania
http://www.wikidata.org/entity/Q1404282,Kondoa Rock Art Sites,-2999-01-01T00:00:00Z,9,painting series,34,Tanzania
http://www.wikidata.org/entity/Q733364,Battle of Megiddo,-1456-04-03T00:00:00Z,11,battle,38,
http://www.wikidata.org/entity/Q27881,876 BC,-0875-01-01T00:00:00Z,9,year BC,30,
http://www.wikidata.org/entity/Q27885,888 BC,-0887-01-01T00:00:00Z,9,year BC,33,
http://www.wikidata.org/entity/Q580004,879 BC,-0878-01-01T00:00:00Z,9,year BC,35,
http://www.wikidata.org/entity/Q581038,891 BC,-0890-01-01T00:00:00Z,9,year BC,33,
http://www.wikidata.org/entity/Q630631,878 BC,-0877-01-01T00:00:00Z,9,year BC,35,
http://www.wikidata.org/entity/Q636762,886 BC,-0885-01-01T00:00:00Z,9,year BC,33,
http://www.wikidata.org/entity/Q1074301,887 BC,-0886-01-01T00:00:00Z,9,year BC,35,
http://www.wikidata.org/entity/Q1086589,889 BC,-0888-01-01T00:00:00Z,9,year BC,33,
http://www.wikidata.org/entity/Q1086613,880 BC,-0879-01-01T00:00:00Z,9,year BC,35,
http://www.wikidata.org/entity/Q1152817,884 BC,-0883-01-01T00:00:00Z,9,year BC,36,
http://www.wikidata.org/entity/Q1404854,882 BC,-0881-01-01T00:00:00Z,9,year BC,30,
http://www.wikidata.org/entity/Q1405550,883 BC,-0882-01-01T00:00:00Z,9,year BC,37,
http://www.wikidata.org/entity/Q1407288,890 BC,-0889-01-01T00:00:00Z,9,year BC,31,
http://www.wikidata.org/entity/Q1407775,913 BC,-0912-01-01T00:00:00Z,9,year BC,29,
http://www.wikidata.org/entity/Q1450231,893 BC,-0892-01-01T00:00:00Z,9,year BC,32,
http://www.wikidata.org/entity/Q1450295,885 BC,-0884-01-01T00:00:00Z,9,year BC,35,
http://www.wikidata.org/entity/Q1450617,877 BC,-0876-01-01T00:00:00Z,9,year BC,31,
