e,eLabel,start,end,sprec,kindLabel,sitelinks,whereLabel
http://www.wikidata.org/entity/Q37110,pharaoh,-3149-01-01T00:00:00Z,-0029-01-01T00:00:00Z,9,noble title,133,Ancient Egypt
http://www.wikidata.org/entity/Q37110,pharaoh,-3149-01-01T00:00:00Z,-0029-01-01T00:00:00Z,9,historical position,133,Ancient Egypt
http://www.wikidata.org/entity/Q80974,Afanasevo culture,-3499-01-01T00:00:00Z,-2499-01-01T00:00:00Z,9,archaeological culture,36,
http://www.wikidata.org/entity/Q687230,Baden culture,-3499-01-01T00:00:00Z,-2799-01-01T00:00:00Z,9,archaeological culture,28,Hungary
http://www.wikidata.org/entity/Q1755426,Valdivia culture,-3499-01-01T00:00:00Z,-1799-01-01T00:00:00Z,9,archaeological culture,19,Ecuador
http://www.wikidata.org/entity/Q169349,Kura–Araxes culture,-3399-01-01T00:00:00Z,-1999-01-01T00:00:00Z,9,archaeological culture,25,Iran
http://www.wikidata.org/entity/Q169349,Kura–Araxes culture,-3399-01-01T00:00:00Z,-1999-01-01T00:00:00Z,9,archaeological site,25,Iran
http://www.wikidata.org/entity/Q11761,Bronze Age,-3299-01-01T00:00:00Z,-0299-01-01T00:00:00Z,9,archaeological age,157,
http://www.wikidata.org/entity/Q11761,Bronze Age,-3299-01-01T00:00:00Z,-1199-01-01T00:00:00Z,9,archaeological age,157,
http://www.wikidata.org/entity/Q11761,Bronze Age,-3299-01-01T00:00:00Z,-0599-01-01T00:00:00Z,9,archaeological age,157,
http://www.wikidata.org/entity/Q134178,Minoan civilization,-3299-01-01T00:00:00Z,-1099-01-01T00:00:00Z,9,archaeological culture,84,
http://www.wikidata.org/entity/Q134178,Minoan civilization,-3299-01-01T00:00:00Z,-1099-01-01T00:00:00Z,9,style,84,
http://www.wikidata.org/entity/Q134178,Minoan civilization,-3299-01-01T00:00:00Z,-1099-01-01T00:00:00Z,9,civilization,84,
http://www.wikidata.org/entity/Q134178,Minoan civilization,-3299-01-01T00:00:00Z,-1099-01-01T00:00:00Z,9,historical period,84,
http://www.wikidata.org/entity/Q134178,Minoan civilization,-3299-01-01T00:00:00Z,-1099-01-01T00:00:00Z,9,ancient civilization,84,
http://www.wikidata.org/entity/Q426737,Yamnaya culture,-3299-01-01T00:00:00Z,-2599-01-01T00:00:00Z,9,archaeological culture,47,
http://www.wikidata.org/entity/Q11761,Bronze Age,-3199-01-01T00:00:00Z,-0299-01-01T00:00:00Z,9,archaeological age,157,
http://www.wikidata.org/entity/Q11761,Bronze Age,-3199-01-01T00:00:00Z,-1199-01-01T00:00:00Z,9,archaeological age,157,
http://www.wikidata.org/entity/Q11761,Bronze Age,-3199-01-01T00:00:00Z,-0599-01-01T00:00:00Z,9,archaeological age,157,
http://www.wikidata.org/entity/Q132659,Egyptian hieroglyphs,-3249-01-01T00:00:00Z,0400-01-01T00:00:00Z,9,writing system,93,
http://www.wikidata.org/entity/Q132659,Egyptian hieroglyphs,-3249-01-01T00:00:00Z,0400-01-01T00:00:00Z,9,logographic writing system,93,
http://www.wikidata.org/entity/Q132659,Egyptian hieroglyphs,-3249-01-01T00:00:00Z,0400-01-01T00:00:00Z,9,unicase alphabet,93,
